MS Zoning,TotRms AbvGrd,House Style,Roof Matl,Mas Vnr Type,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,Overall Qual,Overall Cond,Bedroom AbvGr,Fireplace Qu,Garage Type,Fireplaces,Garage Cars,Sale Type,Gr Liv Area,Total Bsmt SF,Garage Area,1st Flr SF,Year Remod/Add,Year Built,Mas Vnr Area,BsmtFin SF 1,age of house,SalePrice
RL,6,1Story,CompShg,None,3,4,4,3,1,5,6,7,3,0,Attchd,0,2.0,WD ,1187,1168.0,420.0,1187,2007,1992,0.0,935.0,29,185000
RL,5,1Story,CompShg,None,3,3,3,3,2,3,5,5,3,0,Attchd,0,2.0,WD ,1056,1056.0,572.0,1056,1955,1955,0.0,1056.0,66,145000
RL,6,1Story,CompShg,BrkFace,3,3,3,3,1,3,6,6,3,3,Attchd,1,2.0,WD ,1453,1453.0,530.0,1453,1961,1961,3.0,1312.0,60,187500
RL,5,1Story,CompShg,None,3,4,3,3,1,6,5,8,3,4,Detchd,1,1.0,WD ,894,894.0,336.0,894,2009,1965,0.0,553.0,56,138500
RL,7,1.5Fin,CompShg,None,3,3,3,3,1,4,5,6,4,4,Detchd,1,1.0,WD ,1938,942.0,240.0,1265,1995,1937,0.0,606.0,84,198000
C (all),9,2Story,CompShg,None,3,4,3,3,1,1,5,6,4,0,NA,0,0.0,WD ,1991,957.0,0.0,1034,2006,1895,0.0,0.0,126,119600
RL,6,1.5Fin,CompShg,None,3,4,3,3,2,1,5,7,3,1,Detchd,1,2.0,WD ,924,672.0,576.0,672,2006,1949,0.0,0.0,72,122900
RL,9,1Story,WdShngl,None,4,3,4,3,1,5,8,5,4,4,Attchd,1,2.0,WD ,2524,2524.0,542.0,2524,1981,1981,0.0,1104.0,40,278000
RL,7,2Story,CompShg,None,3,3,4,3,1,1,8,7,3,4,Detchd,2,2.0,WD ,1517,792.0,400.0,792,1950,1929,0.0,0.0,92,230000
RL,6,1Story,CompShg,None,4,4,4,4,3,2,8,5,2,4,Attchd,1,2.0,WD ,1494,1494.0,481.0,1494,1996,1995,0.0,437.0,26,270000
RL,5,1Story,CompShg,None,3,3,3,3,1,5,6,6,2,0,Detchd,0,2.0,WD ,948,948.0,410.0,948,1952,1952,0.0,441.0,69,125000
RL,7,1Story,CompShg,Stone,4,3,5,3,4,6,8,5,3,4,Attchd,1,3.0,WD ,1718,1705.0,826.0,1718,2008,2007,336.0,1288.0,14,297000
RL,5,1Story,Tar&Grv,BrkFace,3,3,4,3,4,1,6,6,2,4,Basment,1,1.0,WD ,1142,160.0,384.0,1142,1958,1958,82.0,0.0,63,113500
RM,6,2Story,CompShg,None,3,3,3,3,1,5,5,6,4,3,Attchd,1,1.0,WD ,1475,757.0,336.0,925,1977,1977,0.0,548.0,44,127000
RL,7,1Story,CompShg,BrkFace,3,3,4,3,1,4,6,6,3,3,Attchd,1,2.0,COD,1844,1844.0,546.0,1844,1977,1977,480.0,705.0,44,190000
RL,6,1Story,CompShg,BrkFace,3,3,3,3,1,5,7,6,3,3,Attchd,1,2.0,WD ,1242,1242.0,528.0,1242,1973,1973,320.0,916.0,48,175500
RL,5,1Story,CompShg,None,3,4,4,4,1,6,5,7,3,0,Detchd,0,1.0,WD ,990,990.0,384.0,990,1994,1994,0.0,420.0,27,146000
RL,6,1Story,CompShg,None,4,3,3,3,1,4,5,6,3,0,Attchd,0,1.0,WD ,1256,1256.0,276.0,1256,1965,1965,0.0,830.0,56,147500
RL,7,1Story,CompShg,None,5,3,5,4,4,6,10,5,2,4,Attchd,1,3.0,New,2076,2076.0,850.0,2076,2006,2006,0.0,1386.0,15,465000
RL,4,SFoyer,CompShg,BrkFace,3,4,4,3,3,6,5,6,1,3,Attchd,1,2.0,WD ,1110,1097.0,602.0,1110,1978,1978,104.0,1097.0,43,165500
RM,7,1.5Fin,CompShg,BrkFace,3,3,3,3,1,1,5,5,4,0,Attchd,0,1.0,WD ,1795,1050.0,352.0,1050,1954,1954,335.0,0.0,67,131500
RL,5,1Story,CompShg,None,3,3,3,3,1,3,5,5,3,0,Detchd,0,1.0,WD ,1040,1040.0,384.0,1040,1965,1965,0.0,906.0,56,129500
RL,9,2Story,CompShg,Stone,3,3,3,2,1,2,8,6,4,4,Detchd,2,2.0,WD ,1873,608.0,786.0,983,1950,1935,40.0,210.0,86,257076
RL,6,1.5Fin,CompShg,None,3,3,3,3,1,2,5,5,3,0,Detchd,0,2.0,WD ,1604,984.0,660.0,984,1960,1941,0.0,408.0,80,117000
RL,6,2Story,CompShg,None,3,2,4,3,1,1,7,6,3,4,Attchd,1,1.0,WD ,1502,776.0,270.0,851,2000,1931,0.0,0.0,90,149000
RL,6,1Story,CompShg,Stone,3,3,3,3,1,3,5,5,3,0,Attchd,0,1.0,WD ,1063,1056.0,280.0,1063,1954,1954,110.0,354.0,67,128000
RL,6,2Story,CompShg,Stone,4,3,4,3,1,1,7,5,2,0,BuiltIn,0,2.0,WD ,1626,764.0,474.0,764,2004,2003,106.0,0.0,18,155000
FV,4,2Story,CompShg,BrkFace,4,3,4,3,1,6,6,5,2,0,Detchd,0,2.0,WD ,1524,756.0,440.0,768,2000,2000,513.0,353.0,21,166000
RL,7,1.5Fin,CompShg,None,3,3,3,3,1,4,4,3,4,3,Detchd,2,2.0,WD ,1981,1122.0,576.0,1328,1950,1928,0.0,622.0,93,135000
RL,12,2Story,CompShg,BrkFace,3,3,4,3,1,4,7,5,5,3,Attchd,2,2.0,WD ,2784,1392.0,564.0,1392,1978,1978,184.0,790.0,43,250000
RM,5,2Story,CompShg,None,3,3,3,3,1,6,4,7,3,0,NA,0,0.0,WD ,1092,546.0,0.0,546,1970,1970,0.0,176.0,51,76000
RL,5,1Story,CompShg,BrkFace,3,3,3,3,1,1,6,6,2,4,Attchd,1,2.0,WD ,1575,216.0,400.0,1575,1951,1951,522.0,0.0,70,155000
RL,7,2Story,CompShg,Stone,3,3,3,3,1,5,6,7,4,0,Attchd,0,1.0,WD ,1352,663.0,299.0,663,1969,1969,143.0,371.0,52,158000
FV,4,2Story,CompShg,None,4,3,4,3,1,6,7,5,2,0,Detchd,0,2.0,WD ,1200,600.0,480.0,600,2005,2004,0.0,368.0,17,149500
RL,5,1Story,CompShg,None,3,4,3,3,1,4,5,6,2,0,Attchd,0,1.0,WD ,936,936.0,240.0,936,1975,1954,0.0,486.0,67,121000
RL,6,1Story,CompShg,None,3,3,3,3,1,3,6,7,3,0,Attchd,0,1.0,WD ,1040,1040.0,293.0,1040,1953,1953,0.0,85.0,68,136000
RL,7,2Story,CompShg,None,3,3,4,3,1,3,6,5,3,3,Attchd,1,2.0,WD ,1636,916.0,386.0,916,1996,1996,0.0,138.0,25,173000
RL,9,2Story,CompShg,BrkFace,4,3,4,3,1,6,8,7,4,4,Attchd,1,3.0,WD ,2270,1152.0,671.0,1164,2007,1999,348.0,524.0,22,290000
FV,11,2Story,CompShg,None,4,3,4,3,3,6,8,5,4,4,BuiltIn,1,2.0,New,2610,1184.0,550.0,1184,2007,2007,0.0,64.0,14,303477
RL,4,1Story,CompShg,None,4,4,4,3,4,5,7,7,1,3,Attchd,2,2.0,WD ,1483,1420.0,690.0,1483,2001,1977,0.0,1092.0,44,270000
RM,6,1.5Fin,CompShg,None,2,2,3,3,1,3,5,5,2,4,Detchd,1,1.0,WD ,1740,936.0,225.0,960,1950,1920,0.0,360.0,101,122250
RL,6,1Story,CompShg,None,3,3,3,3,1,3,5,5,3,0,Attchd,0,1.0,WD ,1382,1382.0,350.0,1382,1955,1955,0.0,172.0,66,153000
RL,6,1Story,CompShg,None,3,3,4,3,1,5,5,5,3,0,NA,0,0.0,New,1120,1120.0,0.0,1120,2007,2007,0.0,206.0,14,147000
RL,5,2Story,CompShg,None,3,3,4,3,1,6,7,8,2,4,Detchd,1,1.0,WD ,1098,531.0,216.0,567,1995,1930,0.0,246.0,91,148500
RM,7,2Story,CompShg,Stone,4,3,4,3,1,1,7,5,3,0,Detchd,0,2.0,WD ,1708,976.0,380.0,976,2004,2004,117.0,0.0,17,130000
RL,7,1Story,CompShg,Stone,5,3,5,3,4,1,9,5,3,4,Attchd,1,3.0,WD ,1802,1802.0,843.0,1802,2006,2006,510.0,0.0,15,372000
RL,6,1Story,CompShg,BrkFace,4,3,4,3,4,6,7,5,2,4,Attchd,1,2.0,WD ,1506,1362.0,440.0,1506,2005,2005,145.0,16.0,16,213490
RL,5,1Story,CompShg,Stone,4,3,4,3,4,6,7,5,1,3,Attchd,2,2.0,Con,1508,1508.0,572.0,1508,2010,2009,96.0,1346.0,12,308030
RL,7,1Story,CompShg,BrkFace,4,3,5,3,2,6,7,5,3,0,Attchd,0,3.0,WD ,2032,1840.0,786.0,2032,1997,1996,668.0,700.0,25,300000
RL,6,1Story,CompShg,None,3,3,3,3,2,5,6,6,3,2,BuiltIn,1,2.0,WD ,1194,655.0,539.0,1194,1959,1959,0.0,655.0,62,159500
RM,7,2Story,CompShg,Stone,4,3,4,3,1,1,7,5,3,0,Detchd,0,2.0,WD ,1709,970.0,380.0,970,2004,2004,50.0,0.0,17,137500
RL,7,1Story,CompShg,BrkFace,4,3,4,3,3,1,7,5,3,0,Attchd,0,3.0,WD ,1616,1616.0,834.0,1616,2005,2005,228.0,0.0,16,232000
RM,4,1Story,CompShg,None,4,4,3,3,1,1,6,6,1,0,Detchd,0,2.0,WD ,768,768.0,440.0,768,1950,1930,0.0,0.0,91,93850
RL,5,1Story,CompShg,Stone,3,3,3,3,1,1,5,5,2,4,Detchd,1,1.0,WD ,872,872.0,322.0,872,1950,1924,65.0,0.0,97,105000
RM,4,1Story,CompShg,None,3,3,3,3,1,1,4,6,1,0,Detchd,0,1.0,WD ,520,520.0,240.0,520,1950,1927,0.0,0.0,94,68500
RL,12,2Story,CompShg,BrkFace,3,3,3,3,1,3,5,5,5,0,Detchd,0,2.0,WD ,2274,1105.0,480.0,1105,1960,1960,361.0,443.0,61,154300
RM,6,1.5Fin,CompShg,None,4,4,3,1,1,1,5,7,3,0,NA,0,0.0,WD ,1601,936.0,0.0,936,2003,1925,0.0,0.0,96,129850
RM,6,2Story,CompShg,None,3,3,3,3,1,4,5,7,3,0,Detchd,0,2.0,WD ,1232,616.0,480.0,616,1950,1910,0.0,168.0,111,114000
RL,9,1Story,CompShg,Stone,5,3,5,3,1,6,9,5,1,4,Attchd,1,3.0,New,2234,2216.0,1166.0,2234,2009,2008,748.0,1904.0,13,501837
RM,7,1.5Fin,CompShg,None,3,3,3,3,2,1,5,8,4,4,Detchd,1,3.0,WD ,1416,876.0,720.0,876,1950,1915,0.0,0.0,106,153900
RL,5,1Story,CompShg,None,3,4,3,3,1,5,4,7,3,0,Detchd,0,2.0,WD ,864,864.0,576.0,864,2006,1971,0.0,240.0,50,130000
RM,4,1Story,CompShg,BrkFace,3,3,5,3,1,6,6,5,2,0,Attchd,0,2.0,WD ,1189,1189.0,392.0,1189,1997,1997,197.0,864.0,24,160500
RL,6,1Story,CompShg,BrkFace,5,3,5,4,1,6,9,5,2,4,Attchd,1,2.0,New,1666,1666.0,575.0,1666,2006,2006,572.0,415.0,15,310090
RL,5,1Story,CompShg,None,4,3,4,3,1,6,7,5,2,0,Attchd,0,2.0,WD ,1200,1176.0,555.0,1200,2003,2003,0.0,833.0,18,184900
RL,4,1Story,CompShg,None,3,3,4,3,1,3,5,7,2,0,Attchd,0,1.0,WD ,928,928.0,252.0,928,2000,1956,0.0,377.0,65,132000
RL,6,1Story,CompShg,BrkFace,3,3,4,3,2,5,5,5,3,2,Attchd,1,2.0,WD ,1336,1288.0,502.0,1336,1969,1969,128.0,553.0,52,163000
FV,4,2Story,CompShg,BrkFace,4,3,4,3,3,6,7,5,2,0,Detchd,0,2.0,ConLD,1200,600.0,480.0,600,2004,2004,120.0,280.0,17,155000
RL,7,SLvl,CompShg,None,3,3,3,3,3,6,6,6,4,0,Attchd,0,2.0,WD ,1427,1427.0,516.0,1427,1969,1969,0.0,828.0,52,183000
RL,7,2Story,CompShg,BrkFace,4,3,4,3,2,6,7,5,3,3,Attchd,2,2.0,WD ,1992,860.0,608.0,1212,2002,1996,254.0,762.0,25,211000
RL,6,2Story,CompShg,None,4,3,4,3,1,2,7,5,3,0,Attchd,0,2.0,WD ,1540,754.0,495.0,754,1994,1994,0.0,36.0,27,184000
RL,8,1Story,CompShg,None,3,3,0,0,0,0,5,5,4,0,Attchd,0,2.0,WD ,1535,0.0,400.0,1535,1979,1979,0.0,0.0,42,118858
RL,6,SLvl,CompShg,BrkFace,3,3,3,3,3,6,5,7,3,4,Attchd,1,2.0,WD ,1152,1152.0,484.0,1152,1964,1964,86.0,1014.0,57,180500
FV,5,1Story,CompShg,Stone,4,3,4,3,1,6,8,5,2,0,Attchd,0,2.0,New,1151,1141.0,484.0,1151,2007,2006,30.0,60.0,15,166000
RL,6,SLvl,CompShg,BrkFace,3,3,3,3,3,4,6,5,3,3,Attchd,1,2.0,COD,1138,1138.0,480.0,1138,1960,1960,54.0,588.0,61,148000
RL,6,1Story,CompShg,None,3,3,3,3,1,3,5,5,2,4,Detchd,1,2.0,WD ,1074,894.0,396.0,1074,1956,1956,0.0,438.0,65,124000
RL,6,1Story,CompShg,BrkFace,5,3,5,3,1,6,9,5,2,4,Attchd,1,2.0,WD ,1561,1561.0,556.0,1561,2005,2005,246.0,1153.0,16,277500
RL,9,2Story,CompShg,BrkFace,4,3,4,3,1,5,8,5,4,5,Attchd,1,3.0,WD ,2726,1342.0,725.0,1358,1995,1995,397.0,527.0,26,350000
RL,7,1Story,CompShg,BrkFace,5,3,5,3,4,6,9,5,2,4,Attchd,1,3.0,WD ,1884,1884.0,670.0,1884,2004,2004,296.0,1337.0,17,387000
RL,5,1Story,CompShg,None,3,3,3,3,2,5,4,7,2,0,NA,0,0.0,WD ,605,528.0,0.0,605,2002,1920,0.0,348.0,101,86000
RL,6,1Story,CompShg,None,5,5,4,5,2,6,8,9,3,4,Attchd,1,2.0,WD ,1671,1426.0,550.0,1671,2007,1976,0.0,1044.0,45,290000
C (all),5,1Story,CompShg,None,3,2,2,3,1,1,3,3,2,0,NA,0,0.0,WD ,797,245.0,0.0,797,1950,1900,0.0,0.0,121,44000
RL,7,2Story,CompShg,None,3,3,5,3,1,5,6,5,3,3,BuiltIn,1,2.0,WD ,1961,804.0,560.0,804,2002,2001,0.0,690.0,20,215000
RL,6,1Story,CompShg,BrkFace,3,3,4,3,1,6,5,6,2,0,Attchd,0,2.0,WD ,1193,1153.0,501.0,1193,1972,1972,144.0,962.0,49,146500
FV,6,2Story,CompShg,None,4,3,4,3,1,6,7,5,3,0,Detchd,0,2.0,WD ,1382,673.0,490.0,673,2000,2000,0.0,641.0,21,165000
RM,10,1.5Fin,CompShg,None,3,4,3,3,1,3,6,7,5,4,Detchd,1,1.0,CWD,2526,714.0,216.0,1664,1950,1916,0.0,168.0,105,136000
RL,4,1Story,CompShg,Stone,3,3,4,3,4,5,6,6,1,4,Attchd,2,2.0,WD ,1390,1705.0,550.0,1390,1957,1957,902.0,1110.0,64,252000
RL,6,2Story,CompShg,Stone,4,3,4,3,1,1,7,5,2,0,BuiltIn,0,2.0,WD ,1626,764.0,474.0,764,2003,2003,106.0,0.0,18,175500
RM,7,2Story,CompShg,None,3,3,3,3,1,5,5,6,3,4,Detchd,1,2.0,WD ,1558,690.0,400.0,868,1950,1939,0.0,421.0,82,150000
RL,6,1Story,CompShg,None,3,3,3,3,1,1,5,5,3,3,Attchd,1,1.0,WD ,1422,978.0,286.0,1422,1978,1960,0.0,0.0,61,139900
RM,8,1.5Fin,CompShg,None,3,3,3,3,1,1,5,7,3,4,Detchd,1,2.0,WD ,1573,1078.0,360.0,1128,1992,1930,0.0,0.0,91,162900
RL,5,1Story,CompShg,BrkFace,3,3,3,3,1,1,6,6,3,0,Attchd,0,2.0,WD ,1116,1116.0,440.0,1116,1962,1962,261.0,0.0,59,160000
RL,5,1Story,CompShg,None,3,3,0,0,0,0,2,2,2,0,NA,0,0.0,WD ,660,0.0,0.0,660,1950,1947,0.0,0.0,74,63900
RL,7,1Story,CompShg,BrkFace,3,3,3,3,1,5,6,5,3,3,Attchd,1,2.0,WD ,1707,1140.0,479.0,1707,1998,1978,144.0,832.0,43,184000
RL,6,1Story,CompShg,BrkFace,3,3,3,3,1,4,5,4,3,4,Attchd,2,2.0,WD ,1466,1466.0,528.0,1466,1959,1959,132.0,176.0,62,149900
FV,5,1Story,CompShg,BrkFace,4,3,4,3,3,6,9,5,2,3,Attchd,1,2.0,WD ,1638,1614.0,495.0,1638,2000,2000,260.0,1027.0,21,300000
RL,7,1Story,Tar&Grv,Stone,3,3,3,3,2,3,5,3,3,3,Basment,2,2.0,WD ,1721,988.0,626.0,1721,1960,1960,275.0,988.0,61,145000
RL,7,2Story,CompShg,None,3,3,4,3,1,6,6,5,3,0,Attchd,0,2.0,WD ,1764,928.0,470.0,928,1997,1997,0.0,821.0,24,231500
RL,6,1Story,CompShg,None,3,3,3,3,1,4,5,6,3,4,NA,1,0.0,WD ,996,996.0,0.0,996,1969,1940,0.0,290.0,81,108000
RL,6,1Story,CompShg,None,3,3,3,3,1,3,5,5,3,0,Attchd,0,1.0,COD,1202,1202.0,304.0,1202,1956,1956,0.0,435.0,65,120000
RL,5,1Story,CompShg,BrkFace,3,3,3,3,1,3,5,5,3,0,Detchd,0,2.0,WD ,988,988.0,572.0,988,1961,1961,57.0,827.0,60,128500
RM,5,1Story,CompShg,None,3,3,3,3,1,1,5,6,2,4,Detchd,1,2.0,WD ,1028,1008.0,360.0,1028,1950,1927,0.0,0.0,94,115000
RM,5,1.5Fin,CompShg,None,3,3,3,3,1,2,5,7,2,0,Detchd,0,1.0,WD ,1284,720.0,240.0,720,1950,1947,0.0,312.0,74,110000
RL,9,2Story,CompShg,BrkFace,4,4,4,3,1,6,9,3,3,4,Attchd,1,3.0,WD ,2944,994.0,864.0,1599,1977,1977,1050.0,410.0,44,150000
RL,6,2Story,CompShg,None,4,3,5,4,3,1,8,5,3,4,Attchd,1,2.0,WD ,1414,707.0,403.0,707,2004,2004,0.0,0.0,17,178000
RL,8,2Story,CompShg,None,3,3,3,3,1,1,7,7,3,4,2Types,2,3.0,WD ,1609,637.0,579.0,959,1990,1932,0.0,0.0,89,199500
RL,6,2Story,CompShg,None,3,3,3,3,1,6,6,5,3,3,Attchd,1,2.0,WD ,1525,813.0,400.0,813,1998,1997,0.0,700.0,24,183500
RM,7,SLvl,CompShg,None,2,3,4,3,2,3,5,5,3,1,Attchd,1,1.0,WD ,1656,624.0,288.0,1092,1967,1967,0.0,257.0,54,126000
RL,4,1Story,CompShg,None,3,3,4,3,1,5,7,6,2,0,Attchd,0,2.0,WD ,1055,1055.0,440.0,1055,1977,1977,0.0,378.0,44,148500
RL,7,2Story,CompShg,None,3,4,3,3,1,1,5,7,4,0,Detchd,0,2.0,WD ,1352,676.0,720.0,676,2006,1939,0.0,0.0,82,149000
RL,6,2Story,CompShg,None,3,3,4,3,1,5,6,5,3,3,Attchd,1,2.0,WD ,1456,855.0,440.0,855,1977,1977,0.0,389.0,44,137900
RL,6,1Story,CompShg,None,4,3,4,3,4,6,8,5,1,4,Attchd,2,2.0,Con,1719,1719.0,473.0,1719,1993,1993,0.0,1619.0,28,324000
RL,5,1Story,CompShg,None,3,3,3,3,1,3,5,6,2,0,NA,0,0.0,WD ,864,864.0,0.0,864,1950,1925,0.0,468.0,96,98000
RM,5,2Story,CompShg,BrkFace,3,3,3,3,1,2,6,5,2,0,Detchd,0,1.0,WD ,987,483.0,264.0,483,1973,1973,359.0,458.0,48,103400
RL,6,1.5Fin,CompShg,None,3,4,3,3,1,1,5,8,2,0,NA,0,0.0,WD ,1020,780.0,0.0,780,1996,1875,0.0,0.0,146,94000
RL,6,1Story,CompShg,Stone,4,3,4,4,2,6,8,5,2,4,Attchd,1,2.0,WD ,1554,1554.0,627.0,1554,2006,2006,108.0,24.0,15,209500
RL,10,2Story,CompShg,BrkFace,5,3,5,3,4,1,10,5,5,5,BuiltIn,1,3.0,New,3390,1528.0,758.0,1528,2006,2006,662.0,0.0,15,545224
RM,7,2Story,CompShg,None,4,4,3,3,1,1,6,8,3,0,NA,0,0.0,WD ,1560,780.0,0.0,780,2009,1912,0.0,0.0,109,159900
RL,4,1Story,CompShg,None,3,3,3,3,1,2,4,5,2,0,Detchd,0,2.0,WD ,864,864.0,400.0,864,1951,1951,0.0,120.0,70,141000
RL,9,2Story,CompShg,None,3,3,4,3,1,5,6,5,3,3,Attchd,1,2.0,WD ,1889,982.0,431.0,1008,2000,2000,0.0,732.0,21,215000
RL,6,1Story,CompShg,None,3,4,3,3,1,5,5,8,3,0,Detchd,0,1.0,WD ,1040,1040.0,260.0,1040,2010,1962,0.0,659.0,59,127000
RL,5,1Story,CompShg,None,3,3,3,3,3,4,5,7,3,0,Attchd,0,1.0,WD ,1172,1172.0,366.0,1172,1998,1954,0.0,954.0,67,128000
FV,6,1Story,CompShg,None,4,3,5,1,1,6,8,5,1,4,Attchd,1,3.0,New,1418,1642.0,852.0,1418,2010,2010,0.0,1032.0,11,267916
RM,6,1.5Fin,CompShg,None,3,3,3,2,1,2,6,6,3,4,Detchd,1,1.0,WD ,1367,884.0,560.0,959,1950,1931,0.0,425.0,90,127500
RL,7,SFoyer,CompShg,BrkFace,4,3,0,0,0,0,7,5,4,5,BuiltIn,1,2.0,ConLD,1922,0.0,672.0,495,2003,2003,500.0,0.0,18,198500
RL,7,1Story,CompShg,BrkFace,3,4,4,3,1,6,6,6,3,3,Attchd,1,2.0,WD ,1422,1422.0,576.0,1422,1981,1981,210.0,588.0,40,175500
RL,7,2Story,CompShg,BrkFace,4,3,4,3,1,6,7,5,3,3,Attchd,1,2.0,WD ,1842,985.0,486.0,985,2000,2000,144.0,841.0,21,217500
RM,9,1.5Fin,CompShg,None,3,2,3,3,1,1,4,5,4,3,Detchd,1,2.0,WD ,1962,888.0,572.0,888,1950,1915,0.0,0.0,106,149500
RL,5,1Story,CompShg,BrkFace,4,3,3,3,1,4,5,7,3,3,Attchd,1,2.0,WD ,1120,864.0,656.0,1120,2004,1966,165.0,644.0,55,148800
RL,11,2Story,CompShg,Stone,4,3,5,3,3,6,9,5,4,4,BuiltIn,1,3.0,New,2868,1992.0,716.0,1992,2006,2005,208.0,240.0,16,556581
RL,6,1Story,CompShg,None,3,3,3,3,1,5,6,3,3,4,Attchd,2,2.0,WD ,1478,1478.0,442.0,1478,1957,1957,0.0,189.0,64,156500
RL,8,2Story,CompShg,None,4,4,4,4,3,6,7,5,4,3,Attchd,1,2.0,WD ,1995,930.0,610.0,950,1996,1995,0.0,685.0,26,237000
RL,5,1Story,CompShg,None,3,3,3,3,1,4,5,7,2,0,Attchd,0,1.0,WD ,912,912.0,297.0,912,1985,1958,0.0,111.0,63,120000
RL,6,1Story,CompShg,None,3,3,4,3,3,6,6,5,3,0,Attchd,0,2.0,WD ,1326,1326.0,388.0,1326,2005,2005,0.0,918.0,16,203000
RL,5,1Story,CompShg,None,3,3,4,3,1,1,8,5,2,0,Attchd,0,2.0,WD ,1204,1191.0,461.0,1204,1987,1987,0.0,0.0,34,130000
RL,7,2Story,CompShg,BrkFace,3,3,3,3,4,6,6,6,4,0,Attchd,0,2.0,WD ,1611,780.0,442.0,798,1964,1964,360.0,674.0,57,167900
